split,image,bolt_boxes,nut_boxes,review_status
train,arg_nuts_bolts_washers_screws_25_jpeg_jpg.rf.0ec33d649e6f9a67e3f81eb6dc7eaf1c.jpg,6,26,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_26_jpeg_jpg.rf.464d45f2e73062680779ce6674ce0afa.jpg,28,15,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_27_jpeg_jpg.rf.078910499b98ade63e956dc6286ee297.jpg,11,29,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_29_jpeg_jpg.rf.0351bac751d0d912c5f579e0ff6fa51a.jpg,33,9,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_2_jpeg_jpg.rf.52542c4b4517b11cded2b8ebd513d79c.jpg,15,33,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_31_jpeg_jpg.rf.152189392a08d20b3838dca6fd25cabd.jpg,30,9,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_32_jpeg_jpg.rf.0200b175f62e337ae60ddd4bce6cc481.jpg,21,19,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_34_jpeg_jpg.rf.087a608fd6b052156954292bdc10ad64.jpg,25,10,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_35_jpeg_jpg.rf.003446bba4a709005d3bd90132f373f5.jpg,15,39,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_36_jpeg_jpg.rf.181e914c5dc5fc86b65235a48e2a4481.jpg,25,19,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_38_jpeg_jpg.rf.02027aa33a5f596bf0af13e8c6d51ac0.jpg,8,43,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_39_jpeg_jpg.rf.0c8dc120d47a8569bcf7e147bb3b893e.jpg,9,1,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_40_jpeg_jpg.rf.05b06fdc3ea98027ff3dbfc5059ab24c.jpg,25,10,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_41_jpeg_jpg.rf.1351599ed65ea22ea48939722ee2df23.jpg,23,19,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_44_jpeg_jpg.rf.001762df7a7e0f3121c548d0d0f45638.jpg,19,11,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_46_jpeg_jpg.rf.11779578a8cdec73e3a1289aaf347105.jpg,22,18,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_47_jpeg_jpg.rf.01a21808d80eb452540efb343b1bff9a.jpg,13,6,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_48_jpeg_jpg.rf.71d54bd7de3289afb125fb204422f623.jpg,27,32,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_50_jpeg_jpg.rf.298d5cd56413c9a668065bb672a2325e.jpg,23,25,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_5_jpeg_jpg.rf.0640534c276e25b3dc5df34dfc55df4c.jpg,31,29,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_7_jpeg_jpg.rf.29a583abc27b52fd8fccbbb1118d7505.jpg,10,16,source_annotation_pending_spot_check
train,arg_nuts_bolts_washers_screws_8_jpeg_jpg.rf.1470cb365d55389cd5c8373da6289678.jpg,21,27,source_annotation_pending_spot_check
train,arg_Photo-10-1-_jpeg_jpg.rf.2cef0a97b87003e58f9e4e634cc56d2d.jpg,35,15,source_annotation_pending_spot_check
train,arg_Photo-12_jpeg_jpg.rf.03767231ef5469076871bbb3a4bc0e74.jpg,30,17,source_annotation_pending_spot_check
train,arg_Photo-13-1-_jpeg_jpg.rf.009ba5f6056ee2ef94b972f265a7165e.jpg,26,33,source_annotation_pending_spot_check
train,arg_Photo-14_jpeg_jpg.rf.1cbe422ee977cfb536af4c3ee2d55605.jpg,13,11,source_annotation_pending_spot_check
train,arg_Photo-15_jpeg_jpg.rf.13f2df3f0063496712395260e298a020.jpg,13,9,source_annotation_pending_spot_check
train,arg_Photo-17_jpeg_jpg.rf.0713592e2f77581233ba7fbdc9e69b34.jpg,14,19,source_annotation_pending_spot_check
train,arg_Photo-1_jpeg_jpg.rf.003488813036983035bd21198e96e965.jpg,46,26,source_annotation_pending_spot_check
train,arg_Photo-2-1-_jpeg_jpg.rf.0d48288e193237024417bddc9751e96b.jpg,15,10,source_annotation_pending_spot_check
train,arg_Photo-22_jpeg_jpg.rf.042de370699f19a214cf4901b483c8c9.jpg,13,9,source_annotation_pending_spot_check
train,arg_Photo-23_jpeg_jpg.rf.0df8770b51d51f75a2cdb2a8365ed655.jpg,13,6,source_annotation_pending_spot_check
train,arg_Photo-25_jpeg_jpg.rf.10d47c5930a824801973ac272162366d.jpg,16,4,source_annotation_pending_spot_check
train,arg_Photo-2_jpeg_jpg.rf.0e53eede6ae92dce3ad69ca2d8c30bdf.jpg,16,7,source_annotation_pending_spot_check
train,arg_Photo-3-1-_jpeg_jpg.rf.02a0e0995e2ead40f88c3094bf06ffae.jpg,13,5,source_annotation_pending_spot_check
train,arg_Photo-4_jpeg_jpg.rf.1374be34dc29b116c38c9a8ad03bde40.jpg,9,2,source_annotation_pending_spot_check
train,arg_Photo-5_jpeg_jpg.rf.0c79ab8076f2481d331e9096853eb6d5.jpg,24,10,source_annotation_pending_spot_check
train,arg_Photo-6-1-_jpeg_jpg.rf.20f646446b13086bc778e1453e1ce8cf.jpg,12,4,source_annotation_pending_spot_check
train,arg_Photo-6_jpeg_jpg.rf.0289e3b1b688a2bf2e53588a69837968.jpg,2,20,source_annotation_pending_spot_check
train,arg_Photo-7-1-_jpeg_jpg.rf.0b6fdaa1bc20342e8ae5db75c8bbd37b.jpg,21,39,source_annotation_pending_spot_check
train,arg_Photo-7_jpeg_jpg.rf.1c3e3a5d4348a932dbd605244c9a3072.jpg,15,19,source_annotation_pending_spot_check
train,arg_Photo-8-1-_jpeg_jpg.rf.01e34aff682ff4a0201edf0fa027bb1e.jpg,25,8,source_annotation_pending_spot_check
train,arg_Photo-8_jpeg_jpg.rf.303bc092040f15f9fcde7cc09d2cbe9b.jpg,31,19,source_annotation_pending_spot_check
train,arg_Photo-9-1-_jpeg_jpg.rf.03660c20c02dd36d4995b991ab9c8751.jpg,23,10,source_annotation_pending_spot_check
train,arg_Photo-9_jpeg_jpg.rf.21ea0da57681f3329f8bcb5ed1d62a65.jpg,16,7,source_annotation_pending_spot_check
valid,arg_2_jpeg_jpg.rf.d191c5cab468dacf4919f6a110125223.jpg,7,4,source_annotation_pending_spot_check
valid,arg_6_jpeg_jpg.rf.e1bbe2d3cc592b940b55e5372cd4fcd0.jpg,8,3,source_annotation_pending_spot_check
valid,arg_8_jpeg_jpg.rf.f0237089ddc2f22f923e2c0aec904dd1.jpg,6,4,source_annotation_pending_spot_check
valid,arg_nuts_bolts_washers_screws_16_jpeg_jpg.rf.e54577148760f2574b80237bd1acf994.jpg,5,18,source_annotation_pending_spot_check
valid,arg_nuts_bolts_washers_screws_21_jpeg_jpg.rf.fac3a2e3b47179668db1e0c481b5859d.jpg,9,18,source_annotation_pending_spot_check
valid,arg_nuts_bolts_washers_screws_22_jpeg_jpg.rf.a58da70670505c6c659023ca90470303.jpg,17,18,source_annotation_pending_spot_check
valid,arg_nuts_bolts_washers_screws_28_jpeg_jpg.rf.493e0e1f6ea8bc36b2e8cc5dd5225a66.jpg,17,18,source_annotation_pending_spot_check
valid,arg_nuts_bolts_washers_screws_30_jpeg_jpg.rf.c187d9db2adcbf97dff4c637b9437c82.jpg,17,18,source_annotation_pending_spot_check
valid,arg_nuts_bolts_washers_screws_33_jpeg_jpg.rf.09af541629900d12051ee7be3b050cbf.jpg,16,18,source_annotation_pending_spot_check
valid,arg_nuts_bolts_washers_screws_37_jpeg_jpg.rf.8ab9f69bc6e7142675b23e449c465bf8.jpg,18,18,source_annotation_pending_spot_check
valid,arg_nuts_bolts_washers_screws_42_jpeg_jpg.rf.ee4f009ad9aae3bc3b24ef89d91f8f27.jpg,14,12,source_annotation_pending_spot_check
valid,arg_nuts_bolts_washers_screws_45_jpeg_jpg.rf.bb0b601e71f990cf0d7aba4aaeb85ef7.jpg,7,6,source_annotation_pending_spot_check
valid,arg_Photo-11_jpeg_jpg.rf.820801258ca27697fdf74a56d8f04e24.jpg,7,6,source_annotation_pending_spot_check
valid,arg_Photo-20_jpeg_jpg.rf.e3547cf64ca5cdb019f7f1ad3d74efe5.jpg,8,6,source_annotation_pending_spot_check
valid,arg_Photo-3_jpeg_jpg.rf.d56e3d5d5572b76e978b72912567586d.jpg,10,6,source_annotation_pending_spot_check
valid,arg_Photo-4-1-_jpeg_jpg.rf.004bc3135273610d82f4fa632acbd443.jpg,7,2,source_annotation_pending_spot_check
valid,arg_Photo-5-1-_jpeg_jpg.rf.4c07e7acc0b2f44c2870c6cc471114b8.jpg,7,5,source_annotation_pending_spot_check
test,arg_10_jpeg_jpg.rf.a28a9efad575d1e59a3b2616fb6a0a75.jpg,12,7,source_annotation_pending_spot_check
test,arg_14_jpeg_jpg.rf.1097b38dfe0ce13e11f46d0d2be56175.jpg,0,0,source_annotation_pending_spot_check
test,arg_16_jpeg_jpg.rf.5fdb41987bf0d79dbcb08cb9275088ff.jpg,0,0,source_annotation_pending_spot_check
test,arg_20_jpeg_jpg.rf.8422e04247962e5dde886cb1e82d4809.jpg,0,0,source_annotation_pending_spot_check
test,arg_nuts_bolts_washers_screws_17_jpeg_jpg.rf.f869329906492906d9b3b283d6501199.jpg,0,18,source_annotation_pending_spot_check
test,arg_nuts_bolts_washers_screws_19_jpeg_jpg.rf.a6e66e2cef786f89a8ef82779c51c6f2.jpg,9,18,source_annotation_pending_spot_check
test,arg_nuts_bolts_washers_screws_3_jpeg_jpg.rf.f102329ffa0c77c6032b01c0d35fde23.jpg,19,19,source_annotation_pending_spot_check
test,arg_nuts_bolts_washers_screws_43_jpeg_jpg.rf.de3ba0d0965cfff80199f7c0796f93fc.jpg,15,14,source_annotation_pending_spot_check
test,arg_nuts_bolts_washers_screws_49_jpeg_jpg.rf.faaced5c1d27d10a779b6968dc853eda.jpg,14,13,source_annotation_pending_spot_check
test,arg_nuts_bolts_washers_screws_4_jpeg_jpg.rf.afca2cd55882d90f734a1f77748c5e0b.jpg,19,19,source_annotation_pending_spot_check
test,arg_nuts_bolts_washers_screws_51_jpeg_jpg.rf.d104011494bb1dc00b4231be8ba5ff02.jpg,10,13,source_annotation_pending_spot_check
test,arg_nuts_bolts_washers_screws_6_jpeg_jpg.rf.1819cd8eeeee596a1c0a6f35ab7e3a3d.jpg,20,19,source_annotation_pending_spot_check
test,arg_nuts_bolts_washers_screws_9_jpeg_jpg.rf.053cf627b13f3f1a61adc7c6b081df6f.jpg,21,19,source_annotation_pending_spot_check
test,arg_Photo-1-1-_jpeg_jpg.rf.31de31b016bcbff5f313db9aafdde802.jpg,9,7,source_annotation_pending_spot_check
test,arg_Photo-16_jpeg_jpg.rf.e39e8eb210c3beb430f62807843140ff.jpg,8,6,source_annotation_pending_spot_check
test,arg_Photo-18_jpeg_jpg.rf.b072f674226c093a51de0aecf29eb816.jpg,8,6,source_annotation_pending_spot_check
test,arg_Photo-19-1-_jpeg_jpg.rf.e63591c316f1f664dcb386eac4092b10.jpg,8,5,source_annotation_pending_spot_check
test,arg_Photo-21_jpeg_jpg.rf.a4e682a117175657caeb1284b1d33001.jpg,9,6,source_annotation_pending_spot_check
test,arg_Photo-24_jpeg_jpg.rf.b76f73668677ead87aa2c8e0c5a662b6.jpg,8,6,source_annotation_pending_spot_check
